obj_partner_name,marc,obj_prod_stream,obj_grant_cycle,obj_workflow_state__label,obj_object_identifier,obj_project_identifier,obj_ia_url__url,obj_nid_link,obj_call_number,obj_av_item_parts__ip_call_number,obj_temporary_id,obj_av_item_parts__ip_temporary_id,type,obj_media_type,obj_av_item_parts__ip_media_type,obj_av_item_parts__ip_gauge_and_format,obj_av_item_parts__ip_sides_parts,obj_av_item_parts__ip_price_bundle,obj_prsv_duration_string,obj_administrative_notes,obj_partner_admin_notes,obj_notes_to_vendor,label,obj_alternative_title,obj_series_title,obj_collection_guide__title,obj_collection_guide__url,obj_created_date__date_free,obj_published_date__date_free,obj_significance,obj_description,obj_subject_topic__label,obj_subject_entity__label,obj_genre__label,obj_spatial_coverage__label,obj_temporal_coverage__date_free,obj_language__value,obj_country_of_creation__value,obj_copyright_statement,obj_creator__name_label_distributor_role,obj_creator__name_label_creator_role,obj_creator__name_label_producer_role,obj_creator__name_label_director_role,obj_creator__name_label_interviewee_role,obj_creator__name_label_interviewer_role,obj_creator__name_label_speaker_role,obj_creator__name_label_writer_role,obj_creator__name_label_editor_role,obj_creator__name_label_performer_role,obj_creator__name_label_musician_role,obj_creator__name_label_contributor_role,obj_creator__name_label_cinematographer_role,obj_creator__name_label_narrator_role,obj_creator__name_label_panelist_role,obj_creator__name_label_actor_role,obj_creator__name_label_artist_role,obj_creator__name_label_artistic_director_role,obj_creator__name_label_author_role,obj_creator__name_label_camera_operator_role,obj_creator__name_label_choreographer_role,obj_creator__name_label_commentator_role,obj_creator__name_label_composer_role,obj_creator__name_label_conductor_role,obj_creator__name_label_costume_designer_role,obj_creator__name_label_filmmaker_role,obj_creator__name_label_host_role,obj_creator__name_label_moderator_role,obj_creator__name_label_photographer_role,obj_creator__name_label_recording_engineer_role,obj_creator__name_label_reporter_role,obj_creator__name_label_set_designer_role,obj_creator__name_label_sound_designer_role,obj_creator__name_label_technical_director_role,obj_av_item_parts__ip_generation__label,obj_av_item_parts__ip_additional_technical_notes,obj_av_item_parts__ip_container_item_annotations,obj_condition_list__value,obj_condition_note,obj_av_item_parts__ip_condition_notes,obj_av_item_parts__ip_aspect_ratio,obj_av_item_parts__ip_frame_rate_tid,obj_av_item_parts__ip_running_speed,obj_av_item_parts__ip_colors_tid,obj_av_item_parts__ip_silent_sound_tid,obj_av_item_parts__ip_track_standard_tid,obj_av_item_parts__ip_stock_manufacturer,obj_av_item_parts__ip_base_type,obj_related_materials__entity_reference,obj_related_materials__relation_type,obj_transcript,obj_transcript_url,obj_asset_type__label,obj_copyright_date__date_free,obj_creator__name_label_copyright_holder_role,obj_copyright_holder_info,obj_copyright_notice,obj_qc_state,obj_overall_image_sound_qc__label,obj_notes_from_vendor,obj_notes_to_user,obj_partner_qc_notes,obj_car_qc_notes_for_vendor,obj_car_notes_for_partner,obj_prsv_files_per_object,obj_node_id_from_d7,obj_cdm_number,obj_cdm_url,obj_project_note,obj_pushed_to_car_date,obj_prsv_embedded_descriptive_metadata,obj_prsv_tech_specs,obj_access_tech_specs,obj_xml_from_vendor_validates,obj_partner_websites,obj_partner_rights_statement,obj_partner_address,obj_funder,node_id_no_changes,node_uuid_no_changes,obj_ark_identifier,obj_oclc_number,obj_av_item_parts__ip_special_handling,obj_tcis_id
SFJAZZ Archive,notcasfjazz,DG,2022/2023,Physical Received,,,,https://californiarevealed.org/node/474856,SFJZ0361;SFJZ0362,"#1:: SFJZ0361
#2::SFJZ0362",,,Sound,Sound,"#1:: Sound
#2:: Sound","#1:: Compact Disc-Recordable (CD-R)
#2:: Compact Disc-Recordable (CD-R)","#1:: 2 disc
#2:: 2 disc","#1:: Digital collections handled by CA-R staff
#2:: Digital collections handled by CA-R staff",,"Optical disc(s) transfered from AV stream to DG stream per clarification of CA-R Dirctor, PV. - MKL 2023-01-05","CDs in this record should be digitized in numerical order (ascending). KS, 08/02/2022",,"The Art of Jazz Piano II, San Francisco Jazz Festival 1999",,17th Annual San Francisco Jazz Festival (1999),,,1999-10-28,,"This concert took place as part of the 17th Annual San Francisco Jazz Festival's Concert series.  It featured Benny Green, Peter Washington, Lewis Nash, and Kenny Barron on piano who replaced Tommy Flanagan since he was ill on this day.  It took place at Herbst Theatre in San Francisco, CA. This recording is found nowhere else and has never been available to the public.","This concert featured Benny Green, Peter Washington, Lewis Nash, and Kenny Barron on piano who replaced Tommy Flanagan, since he was unable to perform on this day. The concert took place at Herbst Theatre in San Francisco, CA , as part of the 17th Annual San Francisco Jazz Festival.",,,Jazz;Live sound recordings,San Francisco (Calif.),,,,"Copyright status unknown. This work may be protected by the U.S. Copyright Law (Title 17, U.S.C.). In addition, its reproduction may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. This work is accessible for purposes of education and research. Transmission or reproduction of works protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user. SFJAZZ attempted to find rights owners without success but is eager to hear from them so that we may obtain permission, if needed. Upon request to digital@sfjazz.org, digitized works can be removed from public view if there are rights issues that need to be resolved.",,,San Francisco Jazz Festival,,,,,,,"Green, Benny;Barron, Kenny;Nash, Lewis;Washington, Peter (Bassist)",,,,,,,,,,,,,,,,,,,,,,,,,"#1:: Original
#2:: Original",,"#1:: 10/28/1999 written on jewel case
#2:: 10/28/1999 written on jewel case",Excellent,"No signs of deterioration, has been kept in jewel case",,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,California Revealed,,Not Reported,Not Reported,Not Reported,Not Reported,http://www.sfjazz.org,,"201 Franklin St
San Francisco, CA 94102
United States",LSTA,474856,4b05699e-aac4-48e7-b4d0-ec257a665689,,,,
SFJAZZ Archive,casfjazz,DG,2022/2023,Physical Received,,,,https://californiarevealed.org/node/474857,SFJZ0414;SFJZ0415,"#1:: SFJZ0414; SFJZ0415
#2:: SFJZ0414; SFJZ0415",,,Sound,Sound,"#1:: Sound
#2:: Sound","#1:: Compact Disc-Recordable (CD-R)
#2:: Compact Disc-Recordable (CD-R)","#1:: 2 disc
#2:: 2 disc","#1:: Digital collections handled by CA-R staff
#2:: Digital collections handled by CA-R staff",,"Optical disc(s) transfered from AV stream to DG stream per clarification of CA-R Dirctor, PV. - MKL 2023-01-05",,,"Interiors: Bey & Barber, SFJAZZ Spring Season 2001",,2001 San Francisco Jazz Festival (Spring Season),,,2001-03-02,,"This concert took place as part of the 2001 San Francisco Jazz Festival's Spring concert series.  It featured Andy Bey and Patricia Barber performing at the Herbst Theatre in San Francisco, CA.  This recording is found nowhere else and has never been available to the public.","This concert featured Andy Bey and Patricia Barber performing at the Herbst Theatre in San Francisco, CA. This concert was part of the 2001 San Francisco Jazz Festival's Spring concert series.",,,Jazz;Live sound recordings,San Francisco (Calif.),,eng,US,"Copyright status unknown. This work may be protected by the U.S. Copyright Law (Title 17, U.S.C.). In addition, its reproduction may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. This work is accessible for purposes of education and research. Transmission or reproduction of works protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user. SFJAZZ attempted to find rights owners without success but is eager to hear from them so that we may obtain permission, if needed. Upon request to digital@sfjazz.org, digitized works can be removed from public view if there are rights issues that need to be resolved.",,,SFJAZZ (Organization),,,,,,,"Bey, Andy;Barber, Patricia.",,,,,,,,,,,,,,,,,,,,,,,,,"#1:: Original
#2:: Original",,,Excellent,"No signs of deterioration, has been kept in jewel case",,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,California Revealed,,Not Reported,Not Reported,Not Reported,Not Reported,http://www.sfjazz.org,,"201 Franklin St
San Francisco, CA 94102
United States",LSTA,474857,b4f3b5df-7e7b-43ab-81e5-163e95716df6,,,,
SFJAZZ Archive,casfjazz,DG,2022/2023,Physical Received,,,,https://californiarevealed.org/node/474858,SFJZ0435;SFJZ0436,"#1:: SFJZ0435; SFJZ0436
#2:: SFJZ0435; SFJZ0436",,,Sound,Sound,"#1:: Sound
#2:: Sound","#1:: Compact Disc-Recordable (CD-R)
#2:: Compact Disc-Recordable (CD-R)","#1:: 2 disc
#2:: 2 disc","#1:: Digital collections handled by CA-R staff
#2:: Digital collections handled by CA-R staff",,"Optical disc(s) transfered from AV stream to DG stream per clarification of CA-R Dirctor, PV. - MKL 2023-01-05","CDs in this record should be digitized in numerical order (ascending). KS, 08/02/2022",,Inner Voyage: An Evening with Gonzalo Rubalcaba 2001,,2001 San Francisco Jazz Festival (Spring Season),,,2001-04-22,,"This concert took place as part of the 2001 San Francisco Jazz Festival's Spring Concert series.  It featured world renowned musician Gonzalo Rubalcaba and took place at the Herbst Theatre in San Francisco, CA.  This recording is found nowhere else and has never been available to the public.","This concert featured world renowned musician, Gonzalo Rubalcaba, and took place at the Herbst Theatre in San Francisco, CA.  The was part of the 2001 San Francisco Jazz Festival's Spring Concert series.",,,Jazz;Live sound recordings,San Francisco (Calif.),,eng,US,"Copyright status unknown. This work may be protected by the U.S. Copyright Law (Title 17, U.S.C.). In addition, its reproduction may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. This work is accessible for purposes of education and research. Transmission or reproduction of works protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user. SFJAZZ attempted to find rights owners without success but is eager to hear from them so that we may obtain permission, if needed. Upon request to digital@sfjazz.org, digitized works can be removed from public view if there are rights issues that need to be resolved.",,,SFJAZZ (Organization),,,,,,,"Rubalcaba, Gonzalo, 1963-",,,,,,,,,,,,,,,,,,,,,,,,,"#1:: Master
#2:: Master",,,Excellent,"No signs of deterioration, has been kept in jewel case",,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,California Revealed,,Not Reported,Not Reported,Not Reported,Not Reported,http://www.sfjazz.org,,"201 Franklin St
San Francisco, CA 94102
United States",LSTA,474858,bc2e1dcd-ff8c-4510-9847-50a09fe226ca,,,,
SFJAZZ Archive,casfjazz,DG,2022/2023,Physical Received,,,,https://californiarevealed.org/node/474859,SFJZ0437;SFJZ0438,"#1:: SFJZ0437; SFJZ0438
#2:: SFJZ0437; SFJZ0438",,,Sound,Sound,"#1:: Sound
#2:: Sound","#1:: Compact Disc-Recordable (CD-R)
#2:: Compact Disc-Recordable (CD-R)","#1:: 2 disc
#2:: 2 disc","#1:: Digital collections handled by CA-R staff
#2:: Digital collections handled by CA-R staff",,"Optical disc(s) transfered from AV stream to DG stream per clarification of CA-R Dirctor, PV. - MKL 2023-01-05","CDs in this record should be digitized in numerical order (ascending). KS, 08/02/2022",,Legacy of the Bass: Brown & McBride 2001,,2001 San Francisco Jazz Festival (Spring Season),,,2001-05-25,,"This concert took place as part of the 2001 San Francisco Jazz Festival's Spring Concert series.  It featured the Ray Brown Trio and Christian McBride, and took place at the Herbst Theatre in San Francisco, CA.  This recording is found nowhere else and has never been available to the public.","This concert featured the Ray Brown Trio and Christian McBride.  It took place at the Herbst Theatre in San Francisco, CA, as part of the 2001 San Francisco Jazz Festival's Spring Concert series.",,,Jazz;Live sound recordings,San Francisco (Calif.),,eng,US,"Copyright status unknown. This work may be protected by the U.S. Copyright Law (Title 17, U.S.C.). In addition, its reproduction may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. This work is accessible for purposes of education and research. Transmission or reproduction of works protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user. SFJAZZ attempted to find rights owners without success but is eager to hear from them so that we may obtain permission, if needed. Upon request to digital@sfjazz.org, digitized works can be removed from public view if there are rights issues that need to be resolved.",,,SFJAZZ (Organization),,,,,,,"Brown, Ray, 1926-2002;McBride, Christian.",,,,,,,,,,,,,,,,,,,,,,,,,"#1:: Original
#2:: Original",,"#1:: May 25, 2001 8:00PM Herbst Theater written on sleeve.
#2:: May 25, 2001 8:00PM Herbst Theater written on sleeve.",Good,"No signs of deterioration, has been kept in paper sleeve",,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,California Revealed,,Not Reported,Not Reported,Not Reported,Not Reported,http://www.sfjazz.org,,"201 Franklin St
San Francisco, CA 94102
United States",LSTA,474859,915e1ab3-c027-43ba-bebb-0060495cf94b,,,,
SFJAZZ Archive,casfjazz,DG,2022/2023,Physical Received,,,,https://californiarevealed.org/node/474860,SFJZ0440,SFJZ0440,,,Sound,Sound,Sound,Compact Disc-Recordable (CD-R),1 disc,Digital collections handled by CA-R staff,,"Optical disc(s) transfered from AV stream to DG stream per clarification of CA-R Dirctor, PV. - MKL 2023-01-05",,,"SFJAZZ Spring Season 2001, ""The Music of Dave Holland and Charles Mingus""",,2001 San Francisco Jazz Festival (Spring Season),,,2001-05-26,,"This concert took place as part of the 2001 San Francisco Jazz Festival's Spring Concert series.  It features world renowned musicians Dave Holland, Chris Potter, Robin Eubanks, and other Bay Area musicians at Herbst Theatre. This recording is found nowhere else and has never been available to the public.","This concert features world renowned musicians Dave Holland, Chris Potter, Robin Eubanks, and other Bay Area musicians. The concert takes place at Herbst Theatre in San Francisco, CA, and took place as part of the 2001 San Francisco Jazz Festival's Spring Concert series.",,,Jazz;Live sound recordings,San Francisco (Calif.),,eng,US,"Copyright status unknown. This work may be protected by the U.S. Copyright Law (Title 17, U.S.C.). In addition, its reproduction may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. This work is accessible for purposes of education and research. Transmission or reproduction of works protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user. SFJAZZ attempted to find rights owners without success but is eager to hear from them so that we may obtain permission, if needed. Upon request to digital@sfjazz.org, digitized works can be removed from public view if there are rights issues that need to be resolved.",,,SFJAZZ (Organization),,,,,,,"Holland, Dave, 1946-;Potter, Chris, 1971-;Eubanks, Robin.",,,,,,,,,,,,,"Mingus, Charles, 1922-1979;Holland, Dave",,,,,,,,,,,,Original,,,Excellent,"No signs of deterioration, has been kept in jewel case",,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,California Revealed,,Not Reported,Not Reported,Not Reported,Not Reported,http://www.sfjazz.org,,"201 Franklin St
San Francisco, CA 94102
United States",LSTA,474860,5a67d5d1-c96d-4686-884e-b2b370a23bd7,,,,
SFJAZZ Archive,casfjazz,DG,2022/2023,Physical Received,,,,https://californiarevealed.org/node/474861,SFJZ0442;SFJZ0443,"#1:: SFJZ0442; SFJZ0443
#2:: SFJZ0442; SFJZ0443",,,Sound,Sound,"#1:: Sound
#2:: Sound","#1:: Compact Disc-Recordable (CD-R)
#2:: Compact Disc-Recordable (CD-R)","#1:: 2 disc
#2:: 2 disc","#1:: Digital collections handled by CA-R staff
#2:: Digital collections handled by CA-R staff",,"Optical disc(s) transfered from AV stream to DG stream per clarification of CA-R Dirctor, PV. - MKL 2023-01-05",,,"Joshua Redman / Christian McBride Duo, SFJAZZ (2001)",,2001 San Francisco Jazz Festival (Spring Season),,,2001-05-27,,"This concert took place as part of the 2001 San Francisco Jazz Festival's Spring Concert series.  It features world renowned musicians Joshua Redman and other Bay Area musicians at the Herbst Theatre in San Francisco, CA. This recording is found nowhere else and has never been available to the public. Redman co-founded the SFJAZZ Collective with Executive Director Randall Kline, as an ensemble brought together in San Francisco, distinguished by the creativity of its members and a primary emphasis on composition.","This concert took place as part of the 2001 San Francisco Jazz Festival's Spring Concert series.  It features world renowned musicians Joshua Redman and other Bay Area musicians at the Herbst Theatre in San Francisco, CA.",,,Jazz;Live sound recordings,San Francisco (Calif.),,eng,US,"Copyright status unknown. This work may be protected by the U.S. Copyright Law (Title 17, U.S.C.). In addition, its reproduction may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. This work is accessible for purposes of education and research. Transmission or reproduction of works protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user. SFJAZZ attempted to find rights owners without success but is eager to hear from them so that we may obtain permission, if needed. Upon request to digital@sfjazz.org, digitized works can be removed from public view if there are rights issues that need to be resolved.",,,SFJAZZ (Organization),,,,,,,"Redman, Joshua",,,,,,,,,,,,,,,,,,,,,,,,,"#1:: Original
#2:: Original",,,Excellent,"No signs of deterioration, has been kept in paper sleeve",,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,California Revealed,,Not Reported,Not Reported,Not Reported,Not Reported,http://www.sfjazz.org,,"201 Franklin St
San Francisco, CA 94102
United States",LSTA,474861,f05d86a8-3e28-4458-a0d1-dd978d0f5c32,,,,
SFJAZZ Archive,casfjazz,DG,2022/2023,Physical Received,,,,https://californiarevealed.org/node/474862,SFJZ0472;SFJZ0473,"#1:: SFJZ0472; SFJZ0473
#2:: SFJZ0472; SFJZ0473",,,Sound,Sound,"#1:: Sound
#2:: Sound","#1:: Compact Disc-Recordable (CD-R)
#2:: Compact Disc-Recordable (CD-R)","#1:: 2 disc
#2:: 2 disc","#1:: Digital collections handled by CA-R staff
#2:: Digital collections handled by CA-R staff",,"Optical disc(s) transfered from AV stream to DG stream per clarification of CA-R Dirctor, PV. - MKL 2023-01-05",,,"2002 High School All Stars Ensemble, Part 1",,2002 San Francisco Jazz Festival (Spring Season),,,2002-04-13,,"This recording captures the first iterations of the San Francisco Jazz High School All Stars Ensemble, a collection of youth jazz musicians from the Bay Area. The SFJAZZ High School All Stars was a new ensemble who grew to gain much national attention over the last decade. This recording has never been made accessible to the public.","This recording captures the first iterations of the San Francisco Jazz High School All Stars Ensemble, a collection of youth jazz musicians from the Bay Area. The SFJAZZ High School All Stars was a new ensemble who grew to gain much national attention over the last decade.",,,Jazz;Live sound recordings,San Francisco (Calif.),,eng,US,"Copyright status unknown. This work may be protected by the U.S. Copyright Law (Title 17, U.S.C.). In addition, its reproduction may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. This work is accessible for purposes of education and research. Transmission or reproduction of works protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user. SFJAZZ attempted to find rights owners without success but is eager to hear from them so that we may obtain permission, if needed. Upon request to digital@sfjazz.org, digitized works can be removed from public view if there are rights issues that need to be resolved.",,,SFJAZZ (Organization),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#1:: Original
#2:: Original",,,Excellent,"No signs of deterioration, has been kept in paper sleeve",,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,California Revealed,,Not Reported,Not Reported,Not Reported,Not Reported,http://www.sfjazz.org,,"201 Franklin St
San Francisco, CA 94102
United States",LSTA,474862,72e012e9-6716-4fc4-9931-7c2a6fb3230a,,,,
SFJAZZ Archive,casfjazz,DG,2022/2023,Physical Received,,,,https://californiarevealed.org/node/474863,SFJZ0474,SFJZ0474,,,Sound,Sound,Sound,Compact Disc-Recordable (CD-R),1 disc,Digital collections handled by CA-R staff,,"Optical disc(s) transfered from AV stream to DG stream per clarification of CA-R Dirctor, PV. - MKL 2023-01-05",,,"Susie Ibarra Quartet, 2002 ""Jazz Horizons"" SFJAZZ",,2002 San Francisco Jazz Festival (Spring Season),,,2002-03-21,,"This recording of ""Jazz Horizons"" features the Susie Ibarra Quartet. Susie Ibarra is a world renowned percussionist, born in California to immigrants from the Phillipines and has worked and recorded with jazz, world, classical, and indigenous musicians. This concert was curated by the Resident Artistic Director at the time, Joshua Redman, who is a Bay Area native. This recording is found nowhere else and has never been available to the public.","This recording of ""Jazz Horizons"" features the Susie Ibarra Quartet.  This concert was curated by the Resident Artistic Director at the time, Joshua Redman.",,,Jazz;Live sound recordings,San Francisco (Calif.),,eng,US,"Copyright status unknown. This work may be protected by the U.S. Copyright Law (Title 17, U.S.C.). In addition, its reproduction may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. This work is accessible for purposes of education and research. Transmission or reproduction of works protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user. SFJAZZ attempted to find rights owners without success but is eager to hear from them so that we may obtain permission, if needed. Upon request to digital@sfjazz.org, digitized works can be removed from public view if there are rights issues that need to be resolved.",,,SFJAZZ (Organization),,,,,,,"Ibarra, Susie",,,,,,,,,,,,,,,,,,,,,,,,,Original,,,Excellent,"No signs of deterioration, has been kept in paper sleeve",,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,California Revealed,,Not Reported,Not Reported,Not Reported,Not Reported,http://www.sfjazz.org,,"201 Franklin St
San Francisco, CA 94102
United States",LSTA,474863,1fb2dfc6-0f98-4895-bcfa-804dd2ab557c,,,,
SFJAZZ Archive,casfjazz,DG,2022/2023,Physical Received,,,,https://californiarevealed.org/node/474864,SFJZ0480,SFJZ0480,,,Sound,Sound,Sound,Compact Disc-Recordable (CD-R),1 disc,Digital collections handled by CA-R staff,,"Optical disc(s) transfered from AV stream to DG stream per clarification of CA-R Dirctor, PV. - MKL 2023-01-05",,,"Redman, Frisell, Blade, Grenadier Family Matinee Show, 2002 SFJAZZ",,2002 San Francisco Jazz Festival (Spring Season),,,2002-04-07,,"This Family Matinee concert took place as part of the 2002 San Francisco Jazz Festival's Spring Concert series.  It features world renowned musicians Joshua Redman, Bill Frisell, Brian Blade, and other Bay Area musicians at the Herbst Theatre. This recording is found nowhere else and has never been available to the public.","This Family Matinee concert features world renowned musicians Joshua Redman, Bill Frisell, Brian Blade, and other Bay Area musicians at the Herbst Theatre in San Francisco, CA. THe concert was part of the 2002 San Francisco Jazz Festival's Spring Concert series.",,,Jazz;Live sound recordings,San Francisco (Calif.),,eng,US,"Copyright status unknown. This work may be protected by the U.S. Copyright Law (Title 17, U.S.C.). In addition, its reproduction may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. This work is accessible for purposes of education and research. Transmission or reproduction of works protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user. SFJAZZ attempted to find rights owners without success but is eager to hear from them so that we may obtain permission, if needed. Upon request to digital@sfjazz.org, digitized works can be removed from public view if there are rights issues that need to be resolved.",,,SFJAZZ (Organization),,,,,,,"Redman, Joshua;Frisell, Bill;Blade, Brian.",,,,,,,,,,,,,,,,,,,,,,,,,Original,,,Excellent,"No signs of deterioration, has been kept in jewel case",,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,California Revealed,,Not Reported,Not Reported,Not Reported,Not Reported,http://www.sfjazz.org,,"201 Franklin St
San Francisco, CA 94102
United States",LSTA,474864,3879a0e0-3c8a-498f-9e05-f7055b4641c8,,,,
SFJAZZ Archive,casfjazz,DG,2022/2023,Physical Received,,,,https://californiarevealed.org/node/474865,SFJZ0481;SFJZ0482,"#1:: SFJZ0481; SFJZ0482
#2:: SFJZ0481; SFJZ0482",,,Sound,Sound,"#1:: Sound
#2:: Sound","#1:: Compact Disc-Recordable (CD-R)
#2:: Compact Disc-Recordable (CD-R)","#1:: 2 disc
#2:: 2 disc","#1:: Digital collections handled by CA-R staff
#2:: Digital collections handled by CA-R staff",,"Optical disc(s) transfered from AV stream to DG stream per clarification of CA-R Dirctor, PV. - MKL 2023-01-05","CDs in this record should be digitized in numerical order (ascending). KS, 08/02/2022",,"Redman, Frisell, Blade, Grenadier at SFJAZZ (2002)",,2002 San Francisco Jazz Festival (Spring Season),,,2002-04-07,,"This concert took place as part of the 2002 San Francisco Jazz Festival's Spring Concert series.  It features world renowned musicians and Bay Area based Joshua Redman, Bill Frisell, Brian Blade, and Larry Grenadier at the Herbst Theatre. This recording is found nowhere else and has never been available to the public.","This concert took place as part of the 2002 San Francisco Jazz Festival's Spring Concert series.  It features Bay Area based Joshua Redman, Bill Frisell, Brian Blade, and Larry Grenadier at the Herbst Theatre in San Francisco, CA.",,,Jazz;Live sound recordings,San Francisco (Calif.),,eng,US,"Copyright status unknown. This work may be protected by the U.S. Copyright Law (Title 17, U.S.C.). In addition, its reproduction may be restricted by terms of gift or purchase agreements, donor restrictions, privacy and publicity rights, licensing and trademarks. This work is accessible for purposes of education and research. Transmission or reproduction of works protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners. Works not in the public domain cannot be commercially exploited without permission of the copyright owner. Responsibility for any use rests exclusively with the user. SFJAZZ attempted to find rights owners without success but is eager to hear from them so that we may obtain permission, if needed. Upon request to digital@sfjazz.org, digitized works can be removed from public view if there are rights issues that need to be resolved.",,,SFJAZZ (Organization),,,,,,,"Redman, Joshua;Frisell, Bill;Blade, Brian.",,,,,,,,,,,,,,,,,,,,,,,,,"#1:: Original
#2:: Original",,,Excellent,"No signs of deterioration, has been kept in jewel case",,,,,,,,,,,,,,,,,,,Not Reported,Not Reported,,,,,,,,,,California Revealed,,Not Reported,Not Reported,Not Reported,Not Reported,http://www.sfjazz.org,,"201 Franklin St
San Francisco, CA 94102
United States",LSTA,474865,303f60bb-cab1-4654-a47f-631fec7589d1,,,,
